year,municipality,salaries,ext_time,sub_all,rent_bcl,rent_mef,publicity,activities,main_bcl,main_roads,main_other,cap_me,cap_trans,cap_build,cap_roads,cap_install,pe_land,pe_build
2007,MUNICIPALIDAD DE NARANJO,150722772.39,2851812.01,14051250.0,0.0,34632631.2,224000.0,2544476.99,80000.0,0.0,50000.0,865790.95,9760800.0,1268000.0,37387000.0,1590540.0,5735882.0,
2007,MUNICIPALIDAD DE NICOYA,218868327.41,698551.08,25504308.0,,27700642.2,1035120.0,5994699.51,2363771.0,0.0,,76508600.0,13801929.83,2800000.0,176837132.6,1200000.0,0.0,0.0
2007,MUNICIPALIDAD DE OREAMUNO,192282861.72,3837184.71,19819470.2,0.0,66974685.0,15970.0,329072.0,420500.0,,296500.0,1500000.0,31496729.6,0.0,0.0,,,
2007,MUNICIPALIDAD DE OROTINA,139383176.35,2689843.12,9407183.4,241000.0,443000.0,605545.0,1475646.1,90000.0,,,66048750.0,30502250.0,,129263170.13,340000.0,,
2007,MUNICIPALIDAD DE OSA,120520980.37,7851884.7,8799900.0,,13980000.0,,7100.0,3905600.0,,,87617064.64,37383122.0,0.0,286631006.4,6000000.0,0.0,
2007,MUNICIPALIDAD DE PALMARES,105409810.23,1261126.88,13183408.4,,4217000.0,1631400.0,1997460.0,842500.0,123384649.0,110000.0,223799.0,0.0,12200000.0,0.0,0.0,7000000.0,
2007,MUNICIPALIDAD DE PARAISO,256928243.02,2865697.4,18874350.0,,989000.0,0.0,6427243.0,1042500.0,,,,,11680000.0,0.0,0.0,0.0,
2007,MUNICIPALIDAD DE PARRITA,114231580.06,11338557.5,5630411.0,,,1945000.0,6351285.0,18768565.21,35310508.3,21587247.48,0.0,24573671.0,,,,,
2007,MUNICIPALIDAD DE PEREZ ZELEDON,475738357.01,33384968.37,23837887.05,3484800.0,148727116.78,2422100.0,28309419.04,7679030.0,0.0,,56052796.67,22746041.92,600000.0,,,0.0,
2007,MUNICIPALIDAD DE POAS,108411696.57,2889631.33,11418556.0,,19592965.0,283360.0,325000.0,,,,7999806.0,10319562.0,,,,443352.0,
2007,MUNICIPALIDAD DE POCOCI,295636641.17,44408874.04,33568893.57,6487000.0,38541646.25,3964060.0,11517736.62,,,,270807050.45,80389704.0,22430747.09,11881100.0,,0.0,
2007,MUNICIPALIDAD DE PUNTARENAS,621104605.14,56659218.4,45362439.15,,47492524.52,1785239.25,2556042.34,22000.0,0.0,,23841676.45,29590980.0,4900000.0,256451874.65,0.0,0.0,
2007,MUNICIPALIDAD DE PURISCAL,88944613.15,3880737.26,6265050.0,-588000.0,34458500.0,0.0,49828.0,0.0,,,495160.0,23365.25,0.0,33785000.0,0.0,,
2007,MUNICIPALIDAD DE QUEPOS,180371341.19,4457854.94,15868873.25,,2395000.0,892708.0,2041316.0,772667.0,,2241647.96,,38568975.6,99282056.57,92225931.13,38836053.36,0.0,
2007,MUNICIPALIDAD DE SAN CARLOS,538899751.18,30805622.25,51775158.37,,236493755.93,5887210.4,13188885.29,19505287.54,395200.0,200150.0,50632606.32,29956972.84,45629227.73,495067376.44,43396022.57,35132291.44,
