year,municipality,remu,serv,d_goods,total_expenses
2017,MUNICIPALIDAD DE ALAJUELITA,1079299695.2999997,410361044.67999995,622845430.0,41657183180.880005
2017,MUNICIPALIDAD DE ALVARADO DE PACAYAS,511694143.8499997,281850982.76,689858325.1799998,43455634045.100006
2017,MUNICIPALIDAD DE ASERRI,1307084248.1999993,425958702.34999996,435330474.51000005,46144788322.69
2017,MUNICIPALIDAD DE ATENAS,843542950.5099998,216716416.91000003,256625469.57,47766328414.880005
2017,MUNICIPALIDAD DE BAGACES,866177554.5399992,224826624.07000002,1201796845.34,50420943081.270004
2017,MUNICIPALIDAD DE BARVA,927746643.3800004,552627393.42,317123110.53000003,52540658681.58
2017,MUNICIPALIDAD DE BELEN,2677391603.3199997,2156489197.7500014,1183185269.4899998,59716201571.490005
2017,MUNICIPALIDAD DE BUENOS AIRES,762517102.6800001,419934970.49,1701249085.5800002,63235217266.26
2017,MUNICIPALIDAD DE CARRILLO GUANACASTE,1999613076.5499997,918142797.7099999,1608220937.14,69192994280.6
2017,MUNICIPALIDAD DE CARTAGO,8098763398.360004,5132320521.060001,5385473936.36,91567589299.87001
2017,MUNICIPALIDAD DE CAÑAS,1354773483.1100001,782178757.56,564064882.2,94839494212.06001
2017,MUNICIPALIDAD DE CORREDORES,1780327332.0400004,522254930.84,209380225.41999996,98313565500.08002
2017,MUNICIPALIDAD DE COTO BRUS,922477770.0699999,575993260.2,696515389.9200001,101409349002.28001
2017,MUNICIPALIDAD DE CURRIDABAT,3756661777.0899987,2940785830.7799997,2606719249.8800006,112360607844.46002
2017,MUNICIPALIDAD DE DESAMPARADOS,4976753013.599999,2611337714.32,1621177022.2600002,124796945015.27002
2017,MUNICIPALIDAD DE DOTA,372287852.42000014,182610001.01,631827036.3600001,126170340486.92001
2017,MUNICIPALIDAD DE EL GUARCO,932307191.44,497117870.65,563333907.83,128824116193.95001
2017,MUNICIPALIDAD DE ESCAZU,5050328676.119995,3852390435.0699997,4487426841.759999,145798766025.80002
2017,MUNICIPALIDAD DE ESPARZA,1576398538.1100006,751209444.9000001,1209261098.87,150269478903.58002
2017,MUNICIPALIDAD DE FLORES,781568484.1700002,522524738.87,509071203.69,152445231830.81003
2017,MUNICIPALIDAD DE GARABITO,2609774956.2899995,964357516.9599999,624756112.72,158151731599.40002
2017,MUNICIPALIDAD DE GOICOECHEA,3498868802.199999,3172019110.41,1899997497.53,168835800806.03003
2017,MUNICIPALIDAD DE GOLFITO,1084211704.2199998,561415501.78,631122985.92,172025222594.06003
2017,MUNICIPALIDAD DE GRECIA,2759761341.5000005,1149305232.8900003,869380896.47,178441417205.75003
2017,MUNICIPALIDAD DE GUACIMO,729015682.8899999,524897105.2,1435101748.89,181708945412.69003
2017,MUNICIPALIDAD DE GUATUSO,514332014.4,208364285.0,957435397.84,183768534541.57004
2017,MUNICIPALIDAD DE HEREDIA,4194139559.949998,4526921829.799999,7978330354.369999,203699620888.88004
2017,MUNICIPALIDAD DE HOJANCHA,354486344.03000003,302159622.33,626634012.1400001,205148085802.78003
2017,MUNICIPALIDAD DE JIMENEZ,389169244.21000004,226148525.14999998,55777767.76,206067071274.31003
2017,MUNICIPALIDAD DE LA CRUZ GUANACASTE,1408717685.6000004,439810399.65,2050933291.5099998,210559372984.25003
2017,MUNICIPALIDAD DE LA UNION,4424005683.839999,1699275539.19,2304230019.72,220616946187.41003
2017,MUNICIPALIDAD DE LEON CORTES,479462889.4999999,249673232.03,634371807.4300001,222425137602.13004
2017,MUNICIPALIDAD DE LIBERIA,3123401997.5800004,1303594020.1499999,833100793.21,229404382123.34003
2017,MUNICIPALIDAD DE LIMON,4737092078.599998,1141576318.8799999,2169248970.9000006,239782990109.35004
2017,MUNICIPALIDAD DE LOS CHILES,584619539.22,279971690.82,580858646.29,241556783017.06003
2017,MUNICIPALIDAD DE MATINA,1031185189.52,344672643.78000003,1184924770.43,244768359539.60004
2017,MUNICIPALIDAD DE MONTES DE OCA,3206469572.6899996,999228558.86,358493998.87,250678895550.34003
2017,MUNICIPALIDAD DE MONTES DE ORO,661111795.4899998,212448345.58,513605321.0300001,252481895182.04004
2017,MUNICIPALIDAD DE MORA,1288843360.8700004,859141865.7800001,688119145.01,256138298911.98004
2017,MUNICIPALIDAD DE MORAVIA,2190348352.64,751378810.1299999,1340181570.8599997,261551245308.30005
2017,MUNICIPALIDAD DE NANDAYURE,581410889.1599998,252351414.87,695200208.4599999,263488619321.40005
2017,MUNICIPALIDAD DE NARANJO,1151369793.9699998,1001009323.3899999,2218459906.53,268976655574.19006
2017,MUNICIPALIDAD DE NICOYA,2044393972.12,623504898.71,1007158669.8,273588560602.86008
2017,MUNICIPALIDAD DE OREAMUNO,1030705837.8900001,356020807.15,954241635.2699999,276369987672.9801
2017,MUNICIPALIDAD DE OROTINA,1096332413.709999,634777332.79,1918982445.5599997,280291251914.1301
2017,MUNICIPALIDAD DE OSA,1698000760.3400002,782999213.22,815885014.3700001,284366306538.4901
2017,MUNICIPALIDAD DE PALMARES,847384388.8800006,422095652.21000004,191533346.2,286686820219.0001
2017,MUNICIPALIDAD DE PARAISO,1976997786.4799998,919696069.1300001,595157590.38,291154452961.5001
2017,MUNICIPALIDAD DE PARRITA,1057800779.0100002,343794365.79,360117520.89000005,293393016670.4101
2017,MUNICIPALIDAD DE PEREZ ZELEDON,3813019769.6500015,1199626213.94,1210871521.52,302023032527.7801
2017,MUNICIPALIDAD DE POAS,646523873.21,422261828.32000005,474004803.74,303853952802.9501
2017,MUNICIPALIDAD DE POCOCI,3068446976.789999,1791473205.3000002,847004095.56,312241482015.2901
2017,MUNICIPALIDAD DE PUNTARENAS,4788460690.549999,1374524824.0,681767243.06,320709972225.0401
2017,MUNICIPALIDAD DE PURISCAL,941827540.7,272928948.18,336654876.04,322856493366.8801
2017,MUNICIPALIDAD DE QUEPOS,1534912354.9799986,1009257290.34,1040699900.23,327168052131.0501
2017,MUNICIPALIDAD DE SAN CARLOS,4849948308.989998,1995295387.54,3815660788.5,341279725266.2901
2017,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,882022301.8799998,402467483.73999995,714472695.74,343605869812.3201
2017,MUNICIPALIDAD DE SAN JOSE,35343325217.93002,9049654717.52,7865469433.85,410519348700.36017
2017,MUNICIPALIDAD DE SAN MATEO,331960558.42000014,282196623.64,152351356.01,411504348928.15015
2017,MUNICIPALIDAD DE SAN PABLO DE HEREDIA,1217909453.6199994,656776816.4799999,299634359.81000006,414183078782.91016
2017,MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA,1600765698.3300002,768105202.1999999,394862224.91,417783682714.9902
2017,MUNICIPALIDAD DE SAN RAMON,2534168620.189999,578907998.3800001,365772703.43999994,422542307785.34015
2017,MUNICIPALIDAD DE SANTA ANA,3604940921.2199993,1387024929.4899998,2416377304.1200004,433405931717.3201
2017,MUNICIPALIDAD DE SANTA BARBARA DE HEREDIA,713209219.38,726159548.26,2150364705.12,437434892178.8801
2017,MUNICIPALIDAD DE SANTA CRUZ,3303850004.42,1417609963.9999998,600049697.8399999,444370507554.5701
2017,MUNICIPALIDAD DE SANTO DOMINGO DE HEREDIA,1874247464.9500003,1293447727.25,1189637780.9500003,449679180483.20013
2017,MUNICIPALIDAD DE SARAPIQUI,889594020.9400003,1012253373.11,2051740578.1400003,454460585184.66016
2017,MUNICIPALIDAD DE SARCHI,846142316.1000001,309199521.51,103950725.53999999,456288756914.92017
2017,MUNICIPALIDAD DE SIQUIRRES,1213200518.6599996,502948626.54,151743677.94,458710917324.2402
2017,MUNICIPALIDAD DE TALAMANCA,1294991924.1299996,584099620.37,301271257.66999996,461558078071.29016
2017,MUNICIPALIDAD DE TARRAZU,437732075.30999994,115414233.85,1029874833.8200002,463357754654.35016
2017,MUNICIPALIDAD DE TIBAS,2713865617.7500005,976530472.4100001,170475549.68,467856377007.4302
2017,MUNICIPALIDAD DE TILARAN,875288210.0,338808670.46000004,815207102.08,470477957785.6402
2017,MUNICIPALIDAD DE TURRIALBA,2025861507.2299995,316643222.83000004,707081083.73,474857358038.2902
2017,MUNICIPALIDAD DE TURRUBARES,453649466.34000003,200555388.05999997,1391882742.57,477269614256.32025
2017,MUNICIPALIDAD DE UPALA,847618003.2800001,1381176714.45,223320984.01000002,480582917542.7302
2017,MUNICIPALIDAD DE VASQUEZ DE CORONADO,1586542430.7199998,459697116.43,645302593.9200001,483880621174.7002
2017,MUNICIPALIDAD DE ZARCERO,631854989.1399997,229552686.26,800475953.7800001,485866375047.0002
2018,MUNICIPALIDAD DE ABANGARES,1847945746.260001,588013708.28,1681112128.2200003,4744979602.780001
2018,MUNICIPALIDAD DE ACOSTA,648226981.8500001,299007706.19,466840307.73,6649438264.190001
2018,MUNICIPALIDAD DE ALAJUELA,8951084662.060001,9390829152.7,10624469648.869999,42711462578.560005
2018,MUNICIPALIDAD DE ALAJUELITA,1268777797.6400003,434094987.3599999,982536921.97,45907853071.75001
2018,MUNICIPALIDAD DE ALVARADO DE PACAYAS,572938323.4499999,315426909.32,281185852.57,47432835364.11001
2018,MUNICIPALIDAD DE ASERRI,1436541258.71,1277228472.27,539105865.65,51424141505.69001
2018,MUNICIPALIDAD DE ATENAS,925153814.8600001,321670945.41,471345065.4,53536773213.87001
2018,MUNICIPALIDAD DE BAGACES,1039687741.5999994,336723850.18,1152993901.53,56515108128.55001
2018,MUNICIPALIDAD DE BARVA,1046443892.67,599516846.48,451249933.5499999,58934597552.23001
2018,MUNICIPALIDAD DE BELEN,2856581822.910001,2308761420.17,1488572451.97,66951052053.320015
2018,MUNICIPALIDAD DE BUENOS AIRES,921427828.9699998,390222984.03999996,2577058811.4800005,71568550332.32
2018,MUNICIPALIDAD DE CARRILLO GUANACASTE,2144846246.5300002,978296644.3,429172200.42999995,76715378699.83
2018,MUNICIPALIDAD DE CARTAGO,8565621740.950002,4919244272.87,5126336231.5,98743158308.21
2018,MUNICIPALIDAD DE CAÑAS,1423910832.9200006,935763536.46,728315363.98,102417258923.77
2018,MUNICIPALIDAD DE CORREDORES,1979242684.8000002,547489589.5799999,500183908.31,106204533933.08
2018,MUNICIPALIDAD DE COTO BRUS,997099824.9799999,610668223.64,1540779287.6599998,110103388569.47
2018,MUNICIPALIDAD DE CURRIDABAT,4045278292.219999,3247772855.7199993,2126313412.7999997,121408073199.21
2018,MUNICIPALIDAD DE DESAMPARADOS,5454978582.15,2472550360.1,1341222992.7099998,133596139448.99
2018,MUNICIPALIDAD DE DOTA,344383022.14,169279630.20999998,1053325353.87,135344331857.81
2018,MUNICIPALIDAD DE EL GUARCO,1051462383.37,642935460.92,842311698.5899999,138597707718.01
2018,MUNICIPALIDAD DE ESCAZU,4976569742.219997,3599807210.16,9212978928.869999,160074518072.65
2018,MUNICIPALIDAD DE ESPARZA,1684842752.0300007,909940134.2299998,1996352210.38,165808219536.56
2018,MUNICIPALIDAD DE FLORES,851014133.29,473251202.23999995,287266204.92999995,167702862583.25
2018,MUNICIPALIDAD DE GARABITO,2752039880.3099995,1394313038.7200003,525606064.66,173821674701.7
2018,MUNICIPALIDAD DE GOICOECHEA,3668268035.999999,2408945513.8500004,1202682135.0300002,182960451317.66
2018,MUNICIPALIDAD DE GOLFITO,1212603354.4299996,691991318.65,1879258324.22,187956753733.17
2018,MUNICIPALIDAD DE GRECIA,2851221318.9400005,1429765103.2199998,518006854.44,194799379790.92
2018,MUNICIPALIDAD DE GUACIMO,815906157.8299997,493309618.2,1253231864.7900002,197990245463.61002
2018,MUNICIPALIDAD DE GUATUSO,550383116.77,253124976.26,714316819.0,199962475090.89
2018,MUNICIPALIDAD DE HEREDIA,4523302122.219999,5043506720.18,6763537171.440001,219515278843.99002
2018,MUNICIPALIDAD DE HOJANCHA,383564034.33000004,408555946.56,712969277.45,221437671955.18002
2018,MUNICIPALIDAD DE JIMENEZ,423210019.0500002,753291812.2,443402390.41999996,223434740865.94003
2018,MUNICIPALIDAD DE LA CRUZ GUANACASTE,1444334817.2700005,589755177.6699998,1393552411.6399999,227753894130.24002
2018,MUNICIPALIDAD DE LA UNION,4920474397.479998,1633658920.0,804494096.75,236704412274.97003
